item_id,type,title,proposed,species_token,dps,date
cae5da6551204429b7950581242c42d2,Feature Service,Atlantic Sturgeon Critical Habitat River Lengths 20171115,False,,,
979975b6d2b947eeb5730dbc64fa2a9a,Feature Service,Bearded Seal Distribution,False,,,
b120ac566003479bb597d368b58c3ead,Feature Service,CoelacanthAfricanTanzanianDPS,False,,,
b0421f7c43014cbd98067e3c7d04f939,Feature Service,GARFO S7 Consultation Areas v2 20191101,False,,,
f66c1e33f91d480db7d1b1c1336223c3,File Geodatabase,NMFS ESA Critical Habitat gdb,False,,,
c898337a1072461aacbdd9ac1e67c840,Feature Service,NMFS ESA Critical Habitat gdb,False,,,
b015b90012064072bf6574165aa8325e,Feature Service,Oregon NMFS Protected Species Combined Data Layer,False,,,
205008ff0bc64baf99ccc2b36c3ec9b9,Feature Service,Protected Resources Division Combined Layer - Gulf of America (formerly Gulf of Mexico) Wind Energy Area Siting,False,,,
d308310e755942b589356e4b5978acc5,Feature Service,S7CA_v2_WebApp_Data_Package_20191030,False,,,
d2b23c3503da48e5a231b0d7aafc333a,Feature Service,Bocaccio_PugetSoundGeorgiaBasinDPS,False,Bocaccio,PugetSoundGeorgiaBasinDPS,
70f3e5f4d4dc4c319d76b5c1037979b1,Shapefile,Bocaccio_PugetSoundGeorgiaBasinDPS_20141113,False,Bocaccio,PugetSoundGeorgiaBasinDPS,20141113
07c31a08bb424cf898104a0b9b35dc97,Feature Service,Bocaccio_PugetSoundGeorgiaBasinDPS_20141113,False,Bocaccio,PugetSoundGeorgiaBasinDPS,20141113
324743a945a945a0976f5dda8efe9fe9,Feature Service,Bocaccio_PugetSoundGeorgiaBasinDPS_20250519,False,Bocaccio,PugetSoundGeorgiaBasinDPS,20250519
2cc86d3756c344a189f7a9697e1ed211,Feature Service,CoelacanthAfricanTanzanianDPS_20250528,False,CoelacanthAfricanTanzanianDPS,20250528,
967f235623784f1593d569e472d87d32,Feature Service,Eulachon_SouthernDPS,False,Eulachon,SouthernDPS,
5a8f40abf9a048e2b3facf60d04d2db1,Shapefile,Eulachon_SouthernDPS_20111020,False,Eulachon,SouthernDPS,20111020
7da9e8bdbe824e3989bd58204b33b53a,Feature Service,Eulachon_SouthernDPS_20111020,False,Eulachon,SouthernDPS,20111020
e01dd59375e14a2ab31f38c33dc64b8a,Feature Service,Eulachon_SouthernDPS_20250522,False,Eulachon,SouthernDPS,20250522
d07c895089104836b50d0be15ee8acf7,File Geodatabase,NMFS_ESA_Critical_Habitat_20221017_gdb,False,NMFS,ESA_Critical_Habitat_20221017_gdb,
8a6e24b58c034287b3c29a4d57996ecc,Feature Service,RockfishYelloweye_PugetSoundGeorgiaBasinDPS,False,RockfishYelloweye,PugetSoundGeorgiaBasinDPS,
461407d1243c4c498b2db4d4050dc106,Shapefile,RockfishYelloweye_PugetSoundGeorgiaBasinDPS_20141113,False,RockfishYelloweye,PugetSoundGeorgiaBasinDPS,20141113
2f1090b54c8d4c119fc9a42408af96aa,Feature Service,RockfishYelloweye_PugetSoundGeorgiaBasinDPS_20141113,False,RockfishYelloweye,PugetSoundGeorgiaBasinDPS,20141113
420269f14400481080fc3ca85edc737e,Feature Service,RockfishYelloweye_PugetSoundGeorgiaBasinDPS_20250529,False,RockfishYelloweye,PugetSoundGeorgiaBasinDPS,20250529
b5816d7bda334b7d9d3a11827c91095f,Feature Service,SalmonAtlantic_GulfofMaineDPS,False,SalmonAtlantic,GulfofMaineDPS,
99dbf432e98d44898034cfdea578f1b4,Shapefile,SalmonAtlantic_GulfofMaineDPS_20090619,False,SalmonAtlantic,GulfofMaineDPS,20090619
d57ac1930ae1429ba251b51dfc00e87f,Feature Service,SalmonAtlantic_GulfofMaineDPS_20090619,False,SalmonAtlantic,GulfofMaineDPS,20090619
e8f0473f45e14e5e89a007fca0839a36,Feature Service,SalmonAtlantic_GulfofMaineDPS_20250617,False,SalmonAtlantic,GulfofMaineDPS,20250617
9830c8ba73a44bbda4a6545f50384536,Feature Service,SawfishSmalltooth_AllDPS_20250528,False,SawfishSmalltooth,AllDPS,20250528
47a546fd8b2843d99b4c638e650f093e,Feature Service,SawfishSmalltooth_NonUSDPS,False,SawfishSmalltooth,NonUSDPS,
95576a6abd5942318f7b6a939b115c47,Feature Service,SawfishSmalltooth_USDPS,False,SawfishSmalltooth,USDPS,
c10edf9e12384f7982c57ded4e9fbf69,Feature Service,SeaLionSteller_WesternDPS,False,SeaLionSteller,WesternDPS,
4d7df145c4e543d084a51d69f0a00942,Shapefile,SeaLionSteller_WesternDPS_19940615,False,SeaLionSteller,WesternDPS,19940615
7f0ce242c56140788f7981a283610a8c,Feature Service,SeaLionSteller_WesternDPS_19940615,False,SeaLionSteller,WesternDPS,19940615
d5ce22cbdd0d4fa0b5006140796ce042,Feature Service,Proposed_SeaTurtleGreen_CentralNorthPacificDPS_20230719,True,SeaTurtleGreen,CentralNorthPacificDPS,20230719
7deccd967f9c4c649a4dee3cd2ea7491,Shapefile,Proposed_SeaTurtleGreen_CentralNorthPacificDPS_shapefile,True,SeaTurtleGreen,CentralNorthPacificDPS,
072f8c4c825d4ac1ad768c89ad25bcd6,Feature Service,Proposed_SeaTurtleGreen_CentralSouthPacificDPS_20230719,True,SeaTurtleGreen,CentralSouthPacificDPS,20230719
7ac9b6871fd44ecda94ee19e1f85256d,Shapefile,Proposed_SeaTurtleGreen_CentralSouthPacificDPS_shapefile,True,SeaTurtleGreen,CentralSouthPacificDPS,
4ad733798afe4dd382499bb616f78e1b,Feature Service,Proposed_SeaTurtleGreen_CentralWestPacificDPS_20230719,True,SeaTurtleGreen,CentralWestPacificDPS,20230719
7f42c2d107da40129a1371e646a4f2ed,Shapefile,Proposed_SeaTurtleGreen_CentralWestPacificDPS_shapefile,True,SeaTurtleGreen,CentralWestPacificDPS,
7c8403021c9641069472524318ac8ea3,Feature Service,Proposed_SeaTurtleGreen_EastPacificDPS_20230719,True,SeaTurtleGreen,EastPacificDPS,20230719
4f24d403fb724f739901b71fc4d6007c,Shapefile,Proposed_SeaTurtleGreen_EastPacificDPS_shapefile,True,SeaTurtleGreen,EastPacificDPS,
475809f0b637409b8027502fd05dbeb6,Feature Service,Proposed_SeaTurtleGreen_NorthAtlanticDPS_20230719,True,SeaTurtleGreen,NorthAtlanticDPS,20230719
cfded69325264e2ea9d04e6f0f3c175f,Shapefile,Proposed_SeaTurtleGreen_NorthAtlanticDPS_20230719_Shapefiles,True,SeaTurtleGreen,NorthAtlanticDPS_20230719_Shapefiles,
8fb7024944b0465ebb0cf8e470315158,Feature Service,Proposed_SeaTurtleGreen_SouthAtlanticDPS_20230719,True,SeaTurtleGreen,SouthAtlanticDPS,20230719
0aac27d5bf1a4d138d63689370e1c9d0,Shapefile,Proposed_SeaTurtleGreen_SouthAtlanticDPS_shapefile,True,SeaTurtleGreen,SouthAtlanticDPS,
e067571e609a43be907d0d5051c46c16,Feature Service,SeaTurtleGreen_AllDPS_20250609,False,SeaTurtleGreen,AllDPS,20250609
22179bb6a2294605a0fcc0bfa98f3af5,Feature Service,SeaTurtleGreen_CentralNorthPacificDPS,False,SeaTurtleGreen,CentralNorthPacificDPS,
36165c2fe1aa42b98fc1052487ba7aa0,Feature Service,SeaTurtleGreen_CentralSouthPacificDPS,False,SeaTurtleGreen,CentralSouthPacificDPS,
82351e6cdeeb41d2947c26d39d797692,Feature Service,SeaTurtleGreen_CentralWestPacificDPS,False,SeaTurtleGreen,CentralWestPacificDPS,
928d25843d9948e48ea69262caa85123,Feature Service,SeaTurtleGreen_EastIndianWestPacificDPS,False,SeaTurtleGreen,EastIndianWestPacificDPS,
4d0888a293d14d28ac951588cf83e5f3,Feature Service,SeaTurtleGreen_EastPacificDPS,False,SeaTurtleGreen,EastPacificDPS,
2e306d8b37db41ef880c44ed48b15024,Feature Service,SeaTurtleGreen_MediterraneanDPS,False,SeaTurtleGreen,MediterraneanDPS,
a6dcb5331d9b461bb0e71e8d112ec6fa,Feature Service,SeaTurtleGreen_NorthAtlanticDPS,False,SeaTurtleGreen,NorthAtlanticDPS,
f88115b8bdc54dfe8a7fb55444acb6db,Feature Service,SeaTurtleGreen_NorthAtlanticDPS19980902,False,SeaTurtleGreen,NorthAtlanticDPS,19980902
4c1a65f190a649d0ae5ebc25f987b7d0,Shapefile,SeaTurtleGreen_NorthAtlanticDPS_19980902,False,SeaTurtleGreen,NorthAtlanticDPS,19980902
